Index,Age,Player,Pos,Tm,G,GS,eFG%,FT%,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG,MPG,Star,Active
599,27.0,Domantas Sabonis,C,SAC,82.0,82.0,60.9,70.39999999999999,13.658536585365853,8.207317073170731,0.9024390243902439,0.5853658536585366,3.317073170731707,3.048780487804878,19.426829268292682,35.707317073170735,1,1
471,27.0,Donovan Mitchell,SG,CLE,55.0,55.0,54.50000000000001,86.5,5.090909090909091,6.054545454545455,1.8363636363636364,0.5454545454545454,2.8,2.1454545454545455,26.6,35.30909090909091,0,1
176,27.0,Donte DiVincenzo,SG,NYK,81.0,63.0,58.4,75.4,3.6666666666666665,2.6666666666666665,1.3209876543209877,0.4444444444444444,1.3950617283950617,2.049382716049383,15.54320987654321,29.135802469135804,1,1
200,30.0,Dorian Finney-Smith,PF,BRK,68.0,56.0,53.5,71.7,4.661764705882353,1.5735294117647058,0.8235294117647058,0.5588235294117647,0.8676470588235294,2.2058823529411766,8.529411764705882,28.441176470588236,1,1
440,32.0,Doug McDermott,SF,TOT,64.0,0.0,59.9,57.9,0.921875,1.09375,0.25,0.03125,0.4375,1.0,5.484375,14.125,0,1
261,33.0,Draymond Green,PF,GSW,55.0,52.0,56.599999999999994,73.0,7.236363636363636,6.036363636363636,1.0,0.8545454545454545,2.4545454545454546,3.018181818181818,8.636363636363637,27.09090909090909,0,1
194,26.0,Drew Eubanks,C,PHO,75.0,6.0,60.699999999999996,77.4,4.293333333333333,0.84,0.36,0.8133333333333334,0.8133333333333334,1.5333333333333334,5.053333333333334,15.586666666666666,0,1
580,29.0,Duncan Robinson,SF,MIA,68.0,36.0,58.9,88.9,2.5441176470588234,2.823529411764706,0.6764705882352942,0.23529411764705882,1.3970588235294117,2.3970588235294117,12.867647058823529,28.014705882352942,0,1
572,27.0,Duop Reath,C,POR,68.0,20.0,54.900000000000006,74.2,3.676470588235294,0.9852941176470589,0.4852941176470588,0.5588235294117647,0.7647058823529411,2.3676470588235294,9.073529411764707,17.852941176470587,0,1
556,32.0,Dwight Powell,C,DAL,63.0,9.0,68.4,70.8,3.3968253968253967,1.3333333333333333,0.4126984126984127,0.31746031746031744,0.5079365079365079,1.7936507936507937,3.3015873015873014,13.26984126984127,0,1
159,20.0,Dyson Daniels,PG,NOP,61.0,16.0,51.4,64.2,3.8688524590163933,2.6885245901639343,1.3934426229508197,0.4098360655737705,0.9672131147540983,1.6557377049180328,5.80327868852459,22.262295081967213,0,1
60,31.0,Dāvis Bertāns,PF,TOT,43.0,1.0,55.60000000000001,90.9,1.4186046511627908,0.813953488372093,0.6046511627906976,0.27906976744186046,0.4186046511627907,1.302325581395349,6.744186046511628,15.674418604651162,0,1
254,35.0,Eric Gordon,SG,PHO,68.0,24.0,56.49999999999999,79.7,1.7941176470588236,2.0441176470588234,0.9705882352941176,0.4411764705882353,1.0735294117647058,1.161764705882353,11.014705882352942,27.83823529411765,0,1
525,26.0,Eugene Omoruyi,SF,WAS,43.0,0.0,52.400000000000006,65.3,1.9767441860465116,0.813953488372093,0.627906976744186,0.11627906976744186,0.4883720930232558,1.441860465116279,4.813953488372093,9.13953488372093,0,1
472,22.0,Evan Mobley,PF,CLE,50.0,50.0,60.0,71.89999999999999,9.36,3.2,0.9,1.44,1.8,2.68,15.7,30.64,0,1
695,22.0,Franz Wagner,SF,ORL,72.0,72.0,52.5,85.0,5.291666666666667,3.736111111111111,1.0555555555555556,0.3888888888888889,1.9027777777777777,2.3333333333333335,19.73611111111111,32.458333333333336,1,1
687,29.0,Fred VanVleet,PG,HOU,73.0,73.0,52.7,86.0,3.808219178082192,8.068493150684931,1.3835616438356164,0.8082191780821918,1.726027397260274,2.506849315068493,17.397260273972602,36.76712328767123,1,1
